event_dt,event_flg,event_name,event_f_cnt,event_m_cnt,event_link
2022-09-25,MEX,Ironman Cozumel 70.3 2022,480,1223,/rus/result/ironman/cozumel/half/2022
2022-09-25,AUS,Ironman Western Sydney 70.3 2022,161,669,/rus/result/ironman/western-sydney/half/2022
2022-09-24,OMA,Ironman Salalah 70.3 2022,79,347,/rus/result/ironman/salalah/half/2022
2022-09-19,KGZ,Issyk-Kul Visa Triathlon Olympic 2022,9,56,/rus/result/nobrand/issyk-kul-visa-triathlon/olympic/2022
2022-09-18,GER,Ironman Dresden 70.3 2022,53,335,/rus/result/ironman/dresden/half/2022
2022-09-18,ITA,Ironman Emilia Romagna 2022,299,1882,/rus/result/ironman/emilia-romagna/full/2022
2022-09-18,ITA,Ironman Emilia Romagna 70.3 2022,512,1988,/rus/result/ironman/emilia-romagna/half/2022
2022-09-18,USA,Ironman Timberman 70.3 2022,288,713,/rus/result/ironman/timberman/half/2022
2022-09-18,USA,Ironman Washington Maple Valley 70.3 2022,368,808,/rus/result/ironman/washington-maple-valley/half/2022
2022-09-18,GBR,Ironman Weymouth 70.3 2022,401,1576,/rus/result/ironman/weymouth/half/2022
2022-09-17,USA,Ironman Maryland 2022,340,1034,/rus/result/ironman/maryland/full/2022
2022-09-17,KGZ,Issyk-Kul Visa Triathlon Half 2022,2,14,/rus/result/nobrand/issyk-kul-visa-triathlon/half/2022
2022-09-11,GER,Ironman Erkner 70.3 2022,261,1095,/rus/result/ironman/erkner/half/2022
2022-09-11,USA,Ironman Michigan 70.3 2022,465,885,/rus/result/ironman/michigan/half/2022
2022-09-11,USA,Ironman Santa Cruz 70.3 2022,683,1857,/rus/result/ironman/santa-cruz/half/2022
2022-09-11,BRA,Ironman Sao Paulo 70.3 2022,210,1274,/rus/result/ironman/sao-paulo/half/2022
2022-09-11,AUS,Ironman Sunshine Coast 70.3 2022,383,1114,/rus/result/ironman/sunshine-coast/half/2022
2022-09-11,GBR,Ironman Wales 2022,172,1541,/rus/result/ironman/wales/full/2022
